Store,store_name,Group_store,store_longitude,store_latitude,store_address
88,Bobapop Giga Mall,Bobapop,106.7209905,10.8276171,"Gian hàng 04-21B, Tầng 4 tòa nhà GIGA MALL 240 – 242 Đường Phạm Văn Đồng, Hiệp Bình Chánh, QuậnThủ Đức, Thành Phố Hồ Chí Minh, VIỆT NAM"
89,Gongcha Bình Minh,Gongcha,106.6581319,10.974933300000002,"03 Lý Thường Kiệt, Phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Bình Dương, VIỆT NAM"
90,Phúc Long Coffee & Tea House - Nowzone,Phúc Long Coffee & Tea House,106.682269,10.764296,"235  Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM"
91,Heekcaa Saigon - Vincom Nam Long,HEEKCAA,106.7326323,10.7440185,"71 Trần Trọng Cung, Tân Thuận Đông, Quận 7, Hồ Chí Minh, Việt Nam"
92,Soya Garden - Lũy Bán Bích,Soya Garden,106.634658,10.777889,"555 Lũy Bán Bích, phường Phú Thạnh, quận Tân Phú, Hồ Chí Minh, Việt Nam"
93,Đen Đá Coffee Lê văn Sỹ,Đen Đá Coffee,106.672007,10.791683,"110 Lê Văn Sỹ, P.10, Quận Phú Nhuận"
94,Trà Sữa Hefkcha,HEEKCAA,105.8062121,21.0232716,"71 Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội, VIỆT NAM"
95,Heekcaa Sài Gòn - Cửa hàng Thảo Điền Pearl,HEEKCAA,106.732845,10.801213,"12 Quốc Hương, P. Thảo Điền, Quận 02, TPHCM"
96,Phúc Long Coffee & Tea House - 42 Trần Cao Vân,Phúc Long Coffee & Tea House,106.696067,10.783017,"42 Trần Cao Vân, Phường 6, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM"
97,Toocha 79 Nguyễn Văn Linh,Toocha,108.21994840000002,16.0606862,"Số 79 Nguyễn Văn Linh, Phường Phước Ninh, Quận Hải Châu, Thành Phố Đà Nẵng, VIỆT NAM"
98,The Coffee House Điện Biên Phủ,The Coffee House,106.676139,10.7719102,"469 Điện Biên Phủ, P.25, Q.Bình Thạnh, Thành Phố Hồ Chí Minh, Việt Nam"
99,Gongcha 70 Nguyễn Đình Chiểu,Gongcha,106.6992663,10.7884003,"70 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM"
100,The Coffee House Hoa Hồng,The Coffee House,106.6887345,10.7963575,"43 Hoa Hồng, P.2, Q.Phú Nhuận, Thành Phố Hồ Chí Minh, Việt Nam"
101,Gong Cha Đà Nẵng 2,Gongcha,108.24493490000002,16.0560155,"225 Nguyễn Văn Thoại, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng, VIỆT NAM"
102,Taster's Choice 75 Lý Thường Kiệt ,Taster's Choice,105.844645,21.025306,"75 Lý Thường Kiệt, Hà Nội"
103,thealleysuvanhanh1,THE ALLEY,106.6672465,10.775700099999998,"539 Sư Vạn Hạnh (nd), Phường 13, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM"
104,THE ALLEY 49-51 HOÀNG DIỆU Q4,THE ALLEY,106.706106,10.764424,"49-51 Hoàng Diệu, Phường 12, Quận 4, Thành Phố Hồ Chí Minh, VIỆT NAM"
105,Gongcha Phan Văn Trị,Gongcha,106.6890763,10.8262186,"595 Phan Văn Trị, Phường 3, Quận Gò Vấp, Thành Phố Hồ Chí Minh, VIỆT NAM"
106,CAFE MILANO NAM KỲ KHỞI NGHĨA,CAFE MILANO,106.682935,10.79006,"281/1A Nam kỳ Khởi Nghĩa, Phường 7, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM"
107,Toocha Võ Thị Sáu ,Toocha,106.690204,10.786282,"170A P8 Quận 3 Võ Thị Sáu , Phường 8, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM"
108,KOI THÉ GARDEN MALL,KOI Thé,106.6571,10.754933,"Lô 1.10, The Garden Mall, 190  Hồng Bàng, Phường 12, Quận 5, Thành Phố Hồ Chí Minh, VIỆT NAM"
109,Phúc Long Coffee & Tea House - Phúc Long Bà Hom,Phúc Long Coffee & Tea House,106.6298246,10.7555124,"76 Bà Hom, P.13, Quận 6"
110,Phúc Long Coffee & Tea House - Phúc Long Hà Nội,Phúc Long Coffee & Tea House,105.7823533,21.0362956," 241 Đường Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, TP. Hà Nội"
111,The Coffee House Hai Bà Trưng,The Coffee House,105.8508985,21.0240748,"23M Hai Bà Trưng, P.Hàng Bài , Q.Hoàn Kiếm, Hà Nội, Việt Nam"
112,KOI THÉ VINCOM,KOI Thé,106.740982,10.802625,"Vincom Mega Mall, số 161  Xa Lộ Hà Nội, KP1, Phường Thảo Điền, Quận 2, Thành Phố Hồ Chí Minh, VIỆT NAM"
113,TocoToco - Nguyễn Thái Học,Tocotoco,106.6949466,10.768754800000002,"83 Nguyễn Thái Học, Phường Cầu Ông Lãnh, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM"
114,KOI THÉ LOTTE MART Q7,KOI Thé,106.701013,10.740844,"Lo 1F-31, Lotte Mart NSG, số 469 Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Thành Phố Hồ Chí Minh, VIỆT NAM"
115,Cafe Hào Nam 1,CAFE HÀO NAM,105.8266861,21.0223344,"32B  Hào Nam, Phường Phương Liên, Quận Đống Đa, Hà Nội, VIỆT NAM"
116,Laha Coffee Hàm Nghi Quận 1,LAHA COFFEE,106.703748,10.770524,"77b Hàm Nghi, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh, Việt Nam"
117,Smoothie - Điện Biên Phủ,Smoothie,106.718563,10.7999596,"561A Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM"
118,TocoToco - Hồ Tùng Mậu,Tocotoco,106.703446,10.773183,"118 Hồ Tùng Mậu, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM"
119,Cheese Coffee Sư Vạn Hạnh,Cheese Coffee,106.6686288,10.7737039,"782 Sư Vạn Hạnh, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM"
120,Trung Nguyên Legend,Trung Nguyên Legend,105.849734,21.028387,"08 Nhà Chung, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM"
121,thealleyntt1,THE ALLEY,106.6780769,10.7693594,"255 Nguyễn Thiện Thuật, Phường 6, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM"
122,The Coffee House Bà Triệu,The Coffee House,105.7796953,20.9682688,"56A Bà Triệu, P.Trần Hưng Đạo, Q.Hoàn Kiếm, Hà Nội, Việt Nam"
123,Toocha 207 Đường 30 tháng 4,Toocha,105.7759643,10.0260527,"207 Đường 30 tháng 4, Phường Xuận Khánh, Quận Ninh Kiều, Cần Thơ, VIỆT NAM"
124,Gong Cha Cần Thơ,Gongcha,105.7831432,10.0151132,"P1-03, Vincom Center Cần Thơ, Số 209 30/4, Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ, VIỆT NAM"
125,Passio - 1 Lê Văn Ninh,Passio,106.754708,10.8510503,"01 Lê Văn Ninh, Phường Linh Tây, Quận Thủ Đức, Thành Phố Hồ Chí Minh, VIỆT NAM"
126,Phúc Long Coffee & Tea House - Golden Plaza,Phúc Long Coffee & Tea House,106.654612,10.752818,"922 Nguyễn Trãi, Phường 14, Quận 5, Thành Phố Hồ Chí Minh, VIỆT NAM"
127,The Coffee House Võ Văn Tần,The Coffee House,106.68714,10.773452,"223 Võ Văn Tần, Phường 5, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM"
128,MLC Bến Bạch Đằng ,My Life Coffee,106.706609,10.772214,"Bến Bạch Đằng  Bạch Đằng , Phường Đa Kao, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM"
129,Mr Sạch Coffee 1,MR SẠCH COFFEE,105.82366129999998,21.0159475,"18  Võ Văn Dũng, Phường Phương Liên, Quận Đống Đa, Hà Nội, VIỆT NAM"
130,The Coffee House Bàu Cát,The Coffee House,106.64038290000002,10.7921355,"112 Bàu Cát, P.14, Q.Tân Bình, Thành Phố Hồ Chí Minh, Việt Nam"
131,Effoc Coffee Nguyễn Hữu Cảnh,Effoc Coffee,106.71093059999998,10.7896289,"19Q Nguyễn Hữu Cảnh, Phường 19, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM"
132,The Coffee House 3/2,The Coffee House,106.6608827,10.7655278,"572 Ba Tháng Hai, P.14, Q.10, Thành Phố Hồ Chí Minh, Việt Nam"
133,Gong Cha Garden Mall,Gongcha,106.657143,10.7545959,"190  Hồng Bàng, Phường 12, Quận 5, Thành Phố Hồ Chí Minh, VIỆT NAM"
134,Laha Coffee Trần Cao Vân,LAHA COFFEE,106.6977235,10.7844063,"11b Trần Cao Vân, Phường Đa Kao, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM"
135,Gongcha CT Plaza',Gongcha,106.6656982,10.8130933,"60A Trường Sơn, Phường 2, Quận Tân Bình, Thành Phố Hồ Chí Minh, VIỆT NAM"
136,Cheese Coffee Xô Viết Nghệ Tĩnh,Cheese Coffee,106.70923799999998,10.794916,"141 Xô Viết Nghệ Tĩnh, Phường 17, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM"
137,Gongcha Garden Mall,Gongcha,106.6564931,10.7543646,"TTTM Garden Mall 190 Hồng Bàng, Phường 12, Quận 5, Thành Phố Hồ Chí Minh, VIỆT NAM"
138,Gongcha An Dương Vương,Gongcha,106.6759388,10.7584093,"496 An Dương Vương, Phường 4, Quận 5, Thành Phố Hồ Chí Minh, VIỆT NAM"
139,Soya Garden- Phù Đổng,Soya Garden,106.69368090000002,10.7714466,"325 Lý Tự Trọng, phường Bến Thành, Quận 1, Hồ Chí Minh, Việt Nam"
140,Tocotoco - Ninh Kiều Cần Thơ,Tocotoco,105.7857227,10.034443,"Lầu 2, Lô 8, Tòa nhà Sense City Đại Lộ Hòa Bình, Phường Tân An, Quận Ninh Kiều, Cần Thơ, VIỆT NAM"
141,Chew tea,CHEW TEA,105.7891452,21.0415937,"7B4 Trần Quốc Hoàn, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội, VIỆT NAM"
142,KOI THÉ NGUYỄN TRI PHƯƠNG,KOI Thé,106.668621,10.762493,"266  Nguyễn Tri Phương, Phường 4, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM"
143,MLC Lê Duẩn,My Life Coffee,106.70125,10.783351," 2b  Lê Duẩn, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM"
144,KOI Vincom Đồng Khởi,KOI Thé,106.7018236,10.7781984,"Tầng B3, Vincom B, 72 Lê Thánh Tôn, Bến Nghé, Quận 1, Hồ Chí Minh, Việt Nam"
145,YiFang Taiwan Fruit Tea - 61 Bà Triệu,YiFang Tea,105.84976840000002,21.019454100000004,"61 Bà Triệu, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội, VIỆT NAM"
146,Soya Garden - Cửu Long,Soya Garden,106.6622587,10.7819067,"52 Cửu Long, Phường 15, Quận 10, Hồ Chí Minh, Việt Nam"
147,Cheese Coffee Nguyễn Gia Trí,Cheese Coffee,106.7143333,10.802261,"06 Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM"
148,Phúc Long Coffee & Tea House - 29 Ngô Đức kế						,Phúc Long Coffee & Tea House,106.705649,10.773425,"29 Ngô Đức Kế, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM"
149,Laha Coffee Đồng Nai Quận 10,LAHA COFFEE,106.6644114,10.7772855,"108 Đồng Nai, Phường 15, Quận 10, Hồ Chí Minh, Việt Nam"
150,Trà sữa Earl Tea 684 Sư Vạn Hạnh,EARL TEA,106.6701812,10.7710005,"684  Sư Vạn Hạnh, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM"
151,thealleycmt81,THE ALLEY,106.6754255,10.7810506,"409 Cmt8, Phường 13, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM"
152,KOI THÉ CAO THẮNG 62C,KOI Thé,106.682359,10.770316,"62C  Cao Thắng, Phường 5, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM"
153,vivastar34dh,VIVO COFFEE,106.6704383,10.742105,"34 Đông Hồ, Phường 4, Quận 8, Thành Phố Hồ Chí Minh, VIỆT NAM"
154,Effoc An Dương Vương,Effoc Coffee,106.6766154,10.7583369,"435 An Dương Vương, Phường 3, Quận 5, Thành Phố Hồ Chí Minh, VIỆT NAM"
155,The Coffee House Lê Đại Hành,The Coffee House,106.6507593,10.767117,"403A - 405A Lê Đại Hành, P.11, Q.11, Thành Phố Hồ Chí Minh, Việt Nam"
156,BA LÁ TRÀ 67 TRƯỜNG SƠN,BA LÁ TRÀ,106.66466,10.810816,"67 Trường Sơn, Phường 10, Quận Tân Bình, Thành Phố Hồ Chí Minh, VIỆT NAM"
157,B59 Coffee,B59 COFFEE,105.8362636,21.0441196,"Số 11 Đường Thanh Niên, Phường Quán Thánh, Quận Ba Đình, Hà Nội"
158,Phúc Long Coffee & Tea House - Vincom Trần Phú NT,Phúc Long Coffee & Tea House,109.1976896,12.2330135,"78-80 Trần Phú, Lộc Thọ, TP. Nha Trang, Khánh Hòa"
159,MLC Trương Định ,My Life Coffee,106.68947,10.778157,"22A , Trương Định, Phường 6, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM"
160,Soya Garden - Quang Trung,Soya Garden,106.66339,10.836622,"145 Quang Trung, phường 10, quận Gò Vấp, Hồ Chí Minh, Việt Nam"
161,YiFang Tea Vincom Biên Hòa,YiFang Tea,106.8430488,10.9578273,"PG1-01 Vincom shophouse Biên Hòa, Đồng Nai, Việt Nam"
162,Soya Garden - Nguyễn Hồng Đào,Soya Garden,106.642808,10.795832,"136 - 138 Nguyễn Hồng Đào, phường 14, quận Tân Bình, thành phố Hồ Chí Minh"
163,Gongcha Tôn Thất Đạm,Gongcha,106.702403,10.77296,"143 Tôn Thất Đạm, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM"
164,Gong Cha Quang Trung,Gongcha,106.6622687,10.8351079,"Tầng trệt CoopMart Quang Trung, 304A Quang Trung, Phường 11, Quận Gò Vấp, Thành Phố Hồ Chí Minh, VIỆT NAM"
165,YiFang Tea 400A Trần Hưng Đạo,YiFang Tea,106.6601116,10.752122300000002,"400A Trần Hưng Đạo, Phường 11, Quận 5, Thành Phố Hồ Chí Minh, VIỆT NAM"
166,Passio - 786 Nguyễn Kiệm,Passio,106.6789433,10.8166482,"786 Nguyễn Kiệm, Phường 3, Quận Gò Vấp, Thành Phố Hồ Chí Minh, VIỆT NAM"
167,Effoc Đồng Nai,Effoc Coffee,106.6643474,10.7773439,"92 Đồng Nai, Phường 15, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM"
168,Gongcha Thảo Điền Pearl,Gongcha,106.7298423,10.8103273,"Gian hàng L1-23+L1-24+L1-23T, Tầng 1, 12 Quốc Hương, Phường Thảo Điền, Quận 2, Thành Phố Hồ Chí Minh, VIỆT NAM"
169,Gongcha Nguyễn Sơn,Gongcha,106.6333217,10.780776800000002,"07 Nguyễn Sơn, Phường Phú Thạnh, Quận Tân Phú, Thành Phố Hồ Chí Minh, VIỆT NAM"
170,The Coffee House 8bis Hoàng Hoa Thám,The Coffee House,106.6898803,10.804542,"8Bis Hoàng Hoa Thám, P.7, Q.Bình Thạnh, Thành Phố Hồ Chí Minh, Việt Nam"
171,Phúc Long Coffee & Tea House - Sư Vạn Hạnh,Phúc Long Coffee & Tea House,106.669785,10.770941,"11 Sư Vạn Hạnh, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM"
172,Tocotoco - 25 Lê Đại Hành,Tocotoco,105.849646,21.0099572,"25 Lê Đại Hành, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội, VIỆT NAM"
173,Gong Cha Times City,Gongcha,105.864125,20.9911299,"Số 25, Ngõ 13 Lĩnh Mai, Phường Mai Động, Quận Hoàng Mai, Hà Nội, VIỆT NAM"
174,Apsara Café,Apsara Cafe,105.85919009999998,21.0243979,"Số 1 Phạm Ngũ Lão, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM"
175,Heekcaa Saigon - TTTM Vincom Plaza Saigonres,HEEKCAA,106.7069828,10.8166837,"188 Nguyễn Xí, Thanh Đa, phường 26, quận Bình Thạnh, Hồ Chí Minh, Việt Nam"
176,TocoToco - 66 Trần Đại Nghĩa,Tocotoco,105.8451294,21.0010429,"66 Trần Đại Nghĩa, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội, VIỆT NAM"
177,TOCOTOCO ĐỒNG NAI,Tocotoco,106.6617345,10.7807214,"112 Đồng Nai,Phường 15,Quận 10, HCM"
178,thealleyquangtrung,THE ALLEY,106.661802,10.837522,"58 Quang Trung, Phường 11, Quận Gò Vấp, Thành Phố Hồ Chí Minh, VIỆT NAM"
179,Soya Garden - Giga Mall,Soya Garden,106.72222240000002,10.8283236,"Tầng 5 - Lô 26,27 TTTM Giga Mall, 240-242 Phạm Văn Đồng,P Hiệp Bình Chánh, Q Thủ Đức, TP HCM"
180,Phúc Long Coffee & Tea House - Aeon Bình Tân,Phúc Long Coffee & Tea House,106.611796,10.742892,"Số 1 Đường số 17A, Khu phố 11, Phường Bình Trị Đông B, Quận Bình Tân, Thành Phố Hồ Chí Minh, VIỆT NAM"
